task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,17.36842105263158,24.88095238095238,19.807692307692307,17.263157894736842,21.136363636363637,14.857142857142858,17.083333333333332,18.0,20.0,16.375,19.130434782608695,19.11764705882353,19.0,14.0,20.625,18.571428571428573,18.75,21.333333333333332
Checking,16.0,22.93103448275862,22.142857142857142,17.692307692307693,18.043478260869566,0.0,19.0,17.857142857142858,21.53846153846154,21.0,26.153846153846153,14.285714285714286,21.0,13.333333333333334,18.823529411764707,16.25,25.0,19.09090909090909
Decision making,17.333333333333332,20.710526315789473,20.0,14.666666666666666,22.125,15.133333333333333,21.176470588235293,24.074074074074073,22.272727272727273,18.75,19.75,19.0625,17.5,14.166666666666666,21.25,17.055555555555557,20.555555555555557,18.88888888888889
Problem solving,18.181818181818183,20.862068965517242,21.071428571428573,16.25,22.354166666666668,20.90909090909091,21.21212121212121,20.555555555555557,19.75,17.5,19.125,19.38888888888889,19.375,15.555555555555555,19.735294117647058,15.9375,18.94736842105263,21.93548387096774
Creative thinking,16.0,20.0,10.0,16.8,17.727272727272727,0.0,19.583333333333332,23.583333333333332,28.454545454545453,19.166666666666668,17.142857142857142,19.5,0.0,14.0,19.444444444444443,18.571428571428573,22.5,25.833333333333332
LT planning,17.105263157894736,17.954545454545453,18.0,20.666666666666668,15.925925925925926,0.0,15.0,24.375,28.170731707317074,20.0,19.41176470588235,17.857142857142858,10.0,17.0,17.647058823529413,16.666666666666668,15.0,19.375
ST planning,17.5,18.75,20.333333333333332,17.692307692307693,20.96153846153846,19.5,20.3125,18.181818181818183,27.032258064516128,20.0,17.857142857142858,16.0,13.0,17.5,18.470588235294116,24.0,17.5,17.307692307692307
Tool use,10.0,22.333333333333332,20.75,23.0,15.0,15.0,20.0,29.0,17.5,17.5,20.0,24.666666666666668,15.0,20.0,18.333333333333332,20.0,20.0,0.0
Computer use,16.0,21.31578947368421,25.90740740740741,18.846153846153847,20.57894736842105,15.5,18.676470588235293,14.642857142857142,17.583333333333332,19.166666666666668,17.818181818181817,15.789473684210526,24.166666666666668,15.0,19.23076923076923,25.0,27.5,21.5
Coding,22.5,19.333333333333332,30.0,0.0,20.0,15.0,10.0,0.0,7.0,0.0,16.666666666666668,20.0,0.0,30.0,17.5,20.0,0.0,0.0
Data manipulation,18.0,25.416666666666668,20.2,13.333333333333334,20.933333333333334,17.5,15.714285714285714,13.571428571428571,25.214285714285715,20.0,16.428571428571427,16.428571428571427,30.0,15.0,21.25,0.0,40.0,23.333333333333332
Analysing data,18.333333333333332,21.516129032258064,18.94736842105263,19.666666666666668,22.703703703703702,20.5,14.714285714285714,20.1,19.047619047619047,18.4,23.46153846153846,21.0,11.5,12.5,20.5,17.5,10.0,13.7
Communicating,22.5,21.0,25.0,12.0,17.307692307692307,14.166666666666666,17.333333333333332,19.09090909090909,15.952380952380953,15.625,16.363636363636363,20.88235294117647,20.0,15.0,20.714285714285715,21.11111111111111,20.2,26.428571428571427
Listening,15.0,18.75,17.5,17.5,16.25,20.0,17.5,30.0,23.0,0.0,13.571428571428571,21.0,20.0,20.0,15.0,23.75,21.25,27.5
Building rapport,14.166666666666666,15.0,17.5,10.0,21.11111111111111,11.666666666666666,11.428571428571429,11.714285714285714,14.166666666666666,12.5,17.5,16.5,0.0,17.5,12.5,19.5,30.695652173913043,25.238095238095237
Managing people,14.444444444444445,12.5,23.0,22.0,21.875,16.666666666666668,19.375,19.0,20.0,25.0,18.333333333333332,25.0,0.0,17.5,21.428571428571427,18.4375,17.894736842105264,25.454545454545453
Managing resources,17.0,19.444444444444443,18.333333333333332,17.5,19.5,20.0,17.142857142857142,23.75,25.666666666666668,25.0,20.0,18.0,18.333333333333332,10.0,15.0,0.0,0.0,22.142857142857142
Admin,18.785714285714285,26.85185185185185,16.76,17.142857142857142,21.681818181818183,16.6,17.5,20.0,18.466666666666665,13.75,15.928571428571429,17.5,50.0,21.666666666666668,14.75,15.0,10.0,25.0
