task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,17.22222222222222,23.448275862068964,19.642857142857142,20.0,23.703703703703702,16.666666666666668,15.555555555555555,17.5,18.846153846153847,15.0,20.0,15.714285714285714,10.0,20.0,18.181818181818183,20.0,22.5,22.333333333333332
Checking,12.5,21.923076923076923,18.571428571428573,17.0,21.923076923076923,13.571428571428571,17.0,13.0,22.0,26.666666666666668,23.88888888888889,20.0,21.25,17.0,20.714285714285715,27.5,25.0,25.0
Decision making,17.5,24.72222222222222,23.571428571428573,15.0,19.041666666666668,17.5,17.692307692307693,21.5625,24.107142857142858,13.833333333333334,16.923076923076923,20.625,17.0,19.166666666666668,19.133333333333333,17.5,17.5,21.0
Problem solving,20.0,23.40909090909091,24.866666666666667,15.833333333333334,20.64516129032258,22.0,18.166666666666668,18.045454545454547,19.307692307692307,18.125,17.0,18.846153846153847,20.0,13.333333333333334,20.75,20.0,22.142857142857142,19.705882352941178
Creative thinking,20.0,22.5,20.0,19.333333333333332,18.375,15.0,17.5,25.833333333333332,18.636363636363637,15.666666666666666,18.333333333333332,20.0,0.0,11.666666666666666,21.25,22.0,21.25,22.333333333333332
LT planning,18.0,18.571428571428573,15.0,12.5,19.166666666666668,15.0,30.0,19.285714285714285,25.0,20.0,22.857142857142858,20.0,10.0,15.0,19.0,16.333333333333332,12.0,25.0
ST planning,16.25,24.0,27.5,18.75,20.0,5.0,17.857142857142858,8.333333333333334,25.416666666666668,20.0,22.0,13.75,25.0,10.0,18.333333333333332,10.0,0.0,19.166666666666668
Tool use,20.0,26.25,21.666666666666668,17.5,20.0,20.0,15.0,20.0,15.0,20.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0
Computer use,20.0,23.125,22.142857142857142,21.428571428571427,20.625,17.142857142857142,18.11111111111111,15.0,18.142857142857142,13.333333333333334,21.5625,20.0,27.5,0.0,14.090909090909092,10.0,26.666666666666668,20.0
Data manipulation,17.5,16.0,23.125,22.0,19.166666666666668,0.0,17.5,30.0,22.0,10.0,18.333333333333332,0.0,0.0,20.0,17.5,0.0,0.0,20.0
Analysing data,10.0,23.214285714285715,21.428571428571427,10.0,19.285714285714285,21.25,15.0,30.0,17.5,0.0,24.166666666666668,19.0,10.0,20.0,17.857142857142858,0.0,0.0,21.666666666666668
Communicating,25.0,18.77777777777778,24.0,18.333333333333332,18.181818181818183,15.0,14.7,21.25,19.25,18.75,15.214285714285714,13.333333333333334,0.0,15.0,18.333333333333332,16.333333333333332,22.083333333333332,29.8
Listening,11.666666666666666,21.0,21.666666666666668,10.0,18.333333333333332,0.0,20.0,10.0,28.0,20.0,18.75,15.0,0.0,0.0,13.333333333333334,23.333333333333332,0.0,26.666666666666668
Building rapport,19.0,16.428571428571427,17.5,0.0,22.0,17.0,16.666666666666668,15.0,40.0,9.4,18.75,15.555555555555555,0.0,15.0,20.0,18.333333333333332,27.82608695652174,23.5
Managing people,18.333333333333332,17.6,15.833333333333334,20.0,15.0,23.5,13.75,18.125,20.0,20.0,17.22222222222222,16.25,20.0,18.333333333333332,21.25,15.0,26.875,25.294117647058822
Managing resources,25.0,20.0,20.0,20.0,26.666666666666668,15.0,20.0,15.0,27.0,0.0,15.0,16.666666666666668,0.0,15.0,19.166666666666668,13.333333333333334,10.0,22.5
Admin,23.333333333333332,29.0625,16.25,16.53846153846154,24.285714285714285,15.0,23.75,11.666666666666666,15.0,25.0,20.714285714285715,15.0,18.333333333333332,13.333333333333334,15.0,11.25,11.666666666666666,34.0
