task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,18.571428571428573,25.294117647058822,18.333333333333332,18.833333333333332,19.72222222222222,10.0,22.0,16.0,19.166666666666668,17.5,18.75,16.875,15.0,20.0,20.2,15.428571428571429,18.4,24.333333333333332
Checking,16.25,22.428571428571427,20.0,30.0,21.5,24.166666666666668,18.6,20.0,20.0,23.333333333333332,17.5,18.0,17.5,25.0,13.75,19.333333333333332,20.0,16.666666666666668
Decision making,13.333333333333334,15.8,19.166666666666668,21.0,16.941176470588236,17.857142857142858,19.545454545454547,23.055555555555557,23.055555555555557,14.166666666666666,19.823529411764707,23.636363636363637,25.0,21.666666666666668,21.25,23.125,19.5,19.416666666666668
Problem solving,18.636363636363637,21.0,20.0,17.5,21.0,19.285714285714285,19.90909090909091,21.5625,24.5,14.4,16.363636363636363,18.214285714285715,0.0,17.5,17.0625,16.25,19.444444444444443,20.625
Creative thinking,10.0,13.333333333333334,13.75,21.25,12.0,0.0,18.666666666666668,27.5,20.375,15.0,20.0,17.5,0.0,15.0,21.166666666666668,24.5,22.5,21.857142857142858
LT planning,20.0,14.0,16.428571428571427,19.5,20.4,0.0,20.0,12.5,34.0,20.0,15.0,18.75,20.0,20.0,18.0,17.5,22.5,21.25
ST planning,13.75,16.666666666666668,17.0,20.555555555555557,17.857142857142858,10.0,18.571428571428573,22.142857142857142,30.714285714285715,15.0,18.0,20.0,21.0,10.0,21.666666666666668,23.333333333333332,22.5,16.875
Tool use,20.0,17.5,43.333333333333336,16.666666666666668,10.0,20.0,20.0,21.666666666666668,21.666666666666668,15.0,25.0,10.0,10.0,20.0,20.0,20.0,0.0,20.0
Computer use,0.0,20.11111111111111,29.5,24.285714285714285,20.625,13.333333333333334,16.25,20.0,14.0,22.5,13.0,18.333333333333332,0.0,0.0,20.0,20.0,12.5,16.25
Data manipulation,0.0,0.0,20.0,0.0,20.0,0.0,10.0,0.0,20.0,0.0,28.333333333333332,30.0,0.0,5.0,0.0,20.0,25.0,12.5
Analysing data,25.0,22.142857142857142,16.25,0.0,20.0,27.5,10.0,15.0,20.0,17.5,20.0,0.0,20.0,0.0,23.333333333333332,10.0,25.0,30.0
Communicating,6.666666666666667,19.375,16.666666666666668,14.333333333333334,19.0,20.0,18.8,13.333333333333334,18.11111111111111,17.5,10.0,17.142857142857142,27.5,20.0,13.333333333333334,17.46153846153846,20.0,33.23529411764706
Listening,0.0,13.333333333333334,25.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,20.0,12.5,0.0,20.0,0.0,25.0,15.0,30.0
Building rapport,17.5,24.166666666666668,12.5,12.5,9.25,15.833333333333334,19.166666666666668,16.666666666666668,20.0,15.625,14.1,14.285714285714286,20.0,15.0,12.4,23.055555555555557,25.6,26.428571428571427
Managing people,10.0,19.0,10.0,20.0,15.0,20.0,20.714285714285715,14.285714285714286,21.666666666666668,20.0,15.0,25.0,0.0,22.5,13.333333333333334,19.375,22.1,24.153846153846153
Managing resources,20.0,16.666666666666668,20.0,5.0,10.0,0.0,15.0,31.666666666666668,15.0,0.0,20.0,26.666666666666668,20.0,0.0,0.0,0.0,0.0,0.0
Admin,21.666666666666668,21.692307692307693,18.75,16.25,24.0,5.0,15.0,5.0,15.0,20.0,10.0,0.0,25.0,0.0,10.0,10.0,0.0,27.875
