task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,15.75,24.0,18.333333333333332,20.0,28.0,10.0,17.5,0.0,24.285714285714285,20.0,18.333333333333332,13.75,25.0,0.0,15.0,14.666666666666666,0.0,18.333333333333332
Checking,13.75,27.5,20.1,16.833333333333332,19.733333333333334,20.666666666666668,14.0,19.833333333333332,20.0,20.0,21.6,18.75,22.5,21.666666666666668,20.857142857142858,18.0,0.0,18.333333333333332
Decision making,22.0,20.714285714285715,21.666666666666668,17.5,20.0,20.0,17.142857142857142,25.0,28.076923076923077,17.5,17.5,14.166666666666666,20.0,18.333333333333332,20.454545454545453,10.0,15.0,15.0
Problem solving,20.0,19.6,26.666666666666668,15.0,16.0,20.0,20.9,17.857142857142858,21.444444444444443,20.0,20.0,19.444444444444443,19.875,13.333333333333334,24.166666666666668,20.0,15.0,16.0
Creative thinking,0.0,20.0,21.0,21.0,15.0,17.5,23.0,20.0,18.4,20.0,21.666666666666668,0.0,10.0,0.0,0.0,50.0,0.0,12.5
LT planning,5.0,20.0,20.0,20.0,0.0,12.5,40.0,18.333333333333332,28.333333333333332,0.0,20.0,20.0,0.0,0.0,20.0,0.0,20.0,10.0
ST planning,0.0,20.0,18.75,17.5,15.0,0.0,20.0,25.0,23.75,0.0,15.0,0.0,30.0,12.0,25.0,13.0,0.0,30.0
Tool use,17.5,18.5,28.666666666666668,18.571428571428573,23.333333333333332,18.0,22.5,20.0,17.636363636363637,15.0,10.75,16.666666666666668,20.0,15.0,14.0,0.0,0.0,15.0
Computer use,20.0,16.666666666666668,19.0,20.0,19.0,20.0,25.0,15.0,28.333333333333332,20.0,23.75,20.0,0.0,10.0,0.0,10.0,0.0,20.0
Data manipulation,0.0,20.0,20.0,0.0,20.0,0.0,20.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Analysing data,0.0,20.0,0.0,0.0,25.0,0.0,0.0,0.0,20.0,0.0,25.0,10.0,0.0,10.0,20.0,0.0,0.0,0.0
Communicating,20.0,20.0,20.333333333333332,10.0,19.166666666666668,10.0,21.0,18.333333333333332,33.0,18.333333333333332,15.0,17.333333333333332,0.0,15.0,15.0,14.833333333333334,17.25,22.3
Listening,0.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,20.0,0.0,10.0,0.0,0.0,0.0,0.0,60.0,20.0,20.0
Building rapport,12.5,20.0,20.0,0.0,25.0,5.0,0.0,10.0,0.0,20.0,7.5,10.0,0.0,0.0,0.0,18.333333333333332,40.0,33.75
Managing people,20.0,0.0,20.0,17.5,16.25,15.0,22.5,0.0,20.0,0.0,20.0,22.2,20.0,15.0,17.666666666666668,22.666666666666668,21.2,22.0
Managing resources,17.5,22.5,21.25,19.666666666666668,20.714285714285715,15.0,16.25,15.0,31.833333333333332,5.0,20.0,17.0,0.0,25.0,13.0,14.333333333333334,20.0,0.0
Admin,15.0,17.5,0.0,18.333333333333332,17.5,0.0,5.0,0.0,60.0,10.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,25.0
