task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,18.0,22.272727272727273,23.75,18.4,20.1875,23.333333333333332,13.375,18.428571428571427,22.5,23.333333333333332,17.77777777777778,20.125,20.0,7.5,17.5,17.5,25.0,21.8
Checking,18.333333333333332,23.625,21.272727272727273,16.666666666666668,20.333333333333332,20.22222222222222,22.0,20.0,15.0,19.0,20.583333333333332,16.25,17.0,13.666666666666666,17.571428571428573,20.0,40.0,17.0
Decision making,20.0,19.545454545454547,18.75,19.166666666666668,20.0,20.0,19.0,26.25,23.666666666666668,20.0,17.857142857142858,19.0,18.0,20.0,22.11111111111111,15.0,20.0,11.666666666666666
Problem solving,22.857142857142858,19.75,21.153846153846153,12.857142857142858,20.6,21.5,18.125,22.875,21.5625,15.833333333333334,20.294117647058822,20.0,20.0,20.2,19.38095238095238,20.0,21.5,17.9
Creative thinking,25.0,20.0,20.0,20.0,20.0,20.0,20.0,23.333333333333332,23.333333333333332,20.0,17.0,17.5,20.0,20.0,18.333333333333332,10.0,20.0,20.0
LT planning,16.25,25.8,10.0,18.75,20.0,18.333333333333332,15.0,25.0,29.818181818181817,20.0,16.25,15.833333333333334,16.666666666666668,13.25,20.833333333333332,17.5,18.333333333333332,20.0
ST planning,13.333333333333334,17.857142857142858,15.0,18.75,13.75,18.333333333333332,25.0,20.0,30.625,15.0,15.0,18.333333333333332,0.0,20.0,16.25,20.0,30.0,30.0
Tool use,0.0,25.5,25.0,0.0,17.5,0.0,15.0,0.0,15.333333333333334,0.0,18.5,30.0,0.0,20.0,0.0,30.0,26.5,9.0
Computer use,21.0,19.375,28.035714285714285,21.25,17.761904761904763,19.545454545454547,15.714285714285714,15.833333333333334,15.153846153846153,17.857142857142858,20.384615384615383,20.88888888888889,20.625,22.5,16.88888888888889,15.0,21.666666666666668,19.375
Coding,15.0,22.5,27.22222222222222,17.0,26.25,20.0,15.75,10.0,22.5,17.5,14.125,19.0,0.0,20.0,18.0,15.0,0.0,17.0
Data manipulation,10.0,16.0,24.6875,20.0,18.125,23.75,13.0,16.25,21.25,15.833333333333334,25.0,33.333333333333336,10.0,20.0,18.571428571428573,15.0,15.0,16.666666666666668
Analysing data,18.333333333333332,18.0,24.72222222222222,20.0,22.263157894736842,19.166666666666668,17.2,25.0,16.583333333333332,14.0,23.8,17.166666666666668,15.0,15.0,16.25,22.833333333333332,20.0,19.5
Communicating,15.0,22.142857142857142,20.0,20.0,19.0,17.5,20.0,10.0,20.0,22.5,10.0,20.0,22.5,17.5,15.0,17.857142857142858,20.833333333333332,28.75
Listening,20.0,24.0,15.0,20.0,20.25,13.75,13.333333333333334,18.333333333333332,30.0,20.0,20.0,22.333333333333332,0.0,18.0,15.0,18.75,38.0,24.2
Building rapport,15.0,15.0,30.0,20.0,0.0,24.666666666666668,5.0,16.5,22.5,20.0,12.5,18.0,0.0,7.5,5.0,18.75,25.0,26.75
Managing people,0.0,15.0,12.5,0.0,20.0,0.0,17.5,0.0,23.75,0.0,18.333333333333332,22.5,0.0,15.0,30.0,21.0,21.25,21.25
Managing resources,17.0,20.0,28.0,0.0,24.75,10.0,0.0,15.333333333333334,23.333333333333332,20.0,11.0,0.0,10.0,20.0,20.0,0.0,0.0,25.0
Admin,21.666666666666668,21.75,20.0,15.0,15.0,15.0,12.5,20.0,16.25,0.0,20.0,25.75,0.0,10.0,15.0,0.0,10.0,31.6
