task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,10.0,28.428571428571427,22.5,16.666666666666668,24.285714285714285,15.0,22.5,20.0,16.25,20.0,28.0,15.25,9.5,0.0,14.0,0.0,0.0,17.2
Checking,18.75,17.75,26.375,16.428571428571427,20.666666666666668,17.5,16.875,20.0,25.416666666666668,11.666666666666666,24.571428571428573,18.571428571428573,18.88888888888889,15.0,13.75,10.0,0.0,15.0
Decision making,17.77777777777778,21.071428571428573,22.272727272727273,21.428571428571427,20.357142857142858,21.428571428571427,17.857142857142858,23.75,19.285714285714285,23.75,17.5,21.25,18.333333333333332,15.0,18.5,17.5,20.0,22.0
Problem solving,16.0,18.928571428571427,18.571428571428573,15.0,20.76923076923077,21.666666666666668,20.0,22.5,24.72222222222222,20.0,17.857142857142858,18.0,20.714285714285715,23.333333333333332,18.75,11.25,17.0,21.428571428571427
Creative thinking,20.0,20.0,0.0,12.5,25.0,0.0,20.0,21.25,21.25,0.0,23.333333333333332,20.0,0.0,0.0,19.0,20.0,0.0,13.333333333333334
LT planning,15.0,0.0,0.0,10.0,12.5,20.0,30.0,30.0,31.666666666666668,0.0,20.0,22.5,0.0,0.0,10.0,0.0,0.0,25.0
ST planning,17.5,24.166666666666668,10.0,22.5,15.714285714285714,20.0,15.833333333333334,18.333333333333332,25.76923076923077,20.0,20.0,0.0,18.333333333333332,20.0,17.142857142857142,20.0,0.0,18.75
Tool use,15.0,12.5,27.22222222222222,16.666666666666668,18.571428571428573,15.6,11.666666666666666,10.0,23.333333333333332,10.0,2.0,21.666666666666668,37.0,16.25,15.0,0.0,10.0,27.5
Computer use,22.5,20.833333333333332,20.0,18.75,19.375,15.0,27.5,15.0,30.0,0.0,13.333333333333334,20.0,0.0,10.0,20.0,0.0,0.0,0.0
Data manipulation,0.0,20.0,15.0,0.0,20.0,5.0,0.0,15.0,40.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
Analysing data,0.0,17.5,0.0,20.0,5.0,5.0,20.0,0.0,0.0,40.0,17.5,0.0,40.0,0.0,0.0,0.0,0.0,0.0
Communicating,0.0,20.0,20.0,16.666666666666668,17.5,30.0,20.0,15.0,20.0,15.0,20.0,22.5,0.0,20.0,15.0,20.0,21.666666666666668,22.0
Listening,20.0,35.0,40.0,20.0,16.666666666666668,5.0,20.0,0.0,0.0,0.0,25.0,10.0,5.0,20.0,0.0,10.0,20.0,20.0
Building rapport,20.0,14.8,20.0,15.0,20.0,16.0,15.0,0.0,20.0,15.0,13.333333333333334,23.333333333333332,0.0,0.0,19.0,26.75,24.833333333333332,23.75
Managing people,10.0,15.0,12.5,20.0,0.0,10.0,12.5,15.0,22.5,0.0,13.75,16.666666666666668,20.0,0.0,16.25,12.5,35.714285714285715,26.666666666666668
Managing resources,15.0,30.0,18.333333333333332,16.666666666666668,16.666666666666668,15.0,20.0,25.0,17.0,0.0,20.0,20.0,20.0,0.0,0.0,0.0,0.0,35.0
Admin,10.5,22.857142857142858,18.333333333333332,17.0,18.11111111111111,18.25,22.5,0.0,20.0,20.0,20.0,22.5,20.0,10.0,25.0,0.0,0.0,27.857142857142858
