task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,16.97872340425532,24.295081967213115,20.267857142857142,18.166666666666668,21.915254237288135,16.263157894736842,17.175,17.642857142857142,20.24390243902439,18.73913043478261,19.487179487179485,17.4,15.846153846153847,15.0,18.74,17.136363636363637,20.1,21.535714285714285
Checking,15.897435897435898,22.564705882352943,22.235294117647058,17.457142857142856,20.011627906976745,19.0,18.27027027027027,17.782608695652176,21.818181818181817,20.208333333333332,22.90909090909091,17.24137931034483,19.357142857142858,17.05,18.347826086956523,19.823529411764707,24.5,18.928571428571427
Decision making,17.647058823529413,20.62135922330097,20.818181818181817,17.9375,19.98165137614679,17.743589743589745,19.076923076923077,23.533333333333335,23.264462809917354,17.65714285714286,18.652173913043477,20.017543859649123,19.03846153846154,17.61904761904762,20.541176470588237,17.97826086956522,19.5,18.381818181818183
Problem solving,19.098360655737704,20.91346153846154,22.153846153846153,15.405405405405405,20.95,20.86111111111111,19.958333333333332,20.41304347826087,21.602739726027398,17.161290322580644,18.677419354838708,18.984615384615385,19.962962962962962,17.04,19.873873873873872,16.40625,19.54,20.3953488372093
Creative thinking,17.916666666666668,19.444444444444443,17.0,18.470588235294116,17.806451612903224,17.0,19.256410256410255,24.304347826086957,22.095238095238095,17.764705882352942,18.90625,18.79310344827586,15.0,14.0,19.88888888888889,22.535714285714285,21.904761904761905,20.869565217391305
LT planning,17.0,18.6,16.52173913043478,18.766666666666666,16.891304347826086,16.25,19.09090909090909,21.627906976744185,28.650602409638555,20.0,19.142857142857142,18.035714285714285,15.454545454545455,15.666666666666666,18.10810810810811,16.954545454545453,18.0,21.08695652173913
ST planning,16.08695652173913,19.545454545454547,19.86111111111111,19.07894736842105,19.0,16.57894736842105,19.651162790697676,18.620689655172413,27.414634146341463,17.5,18.541666666666668,16.583333333333332,19.0625,15.285714285714286,18.583333333333332,20.214285714285715,20.714285714285715,18.484848484848484
Tool use,16.428571428571427,19.48148148148148,27.86111111111111,18.666666666666668,19.444444444444443,17.2,18.125,20.571428571428573,18.88888888888889,16.25,16.692307692307693,19.153846153846153,24.0,17.727272727272727,15.909090909090908,22.0,20.75,18.285714285714285
Computer use,18.275862068965516,21.01923076923077,25.346456692913385,20.27777777777778,19.791666666666668,17.058823529411764,18.413333333333334,15.333333333333334,17.83606557377049,18.571428571428573,19.278688524590162,18.288888888888888,22.8125,14.0,17.48780487804878,19.5,22.5,20.217391304347824
Coding,18.75,21.636363636363637,27.916666666666668,17.0,25.555555555555557,17.5,14.6,10.0,21.09090909090909,17.5,14.818181818181818,19.25,0.0,25.0,17.833333333333332,16.666666666666668,0.0,17.0
Data manipulation,16.875,20.17241379310345,22.113636363636363,19.285714285714285,19.8125,18.88888888888889,15.0,15.714285714285714,23.833333333333332,15.625,20.517241379310345,22.272727272727273,20.0,15.0,18.928571428571427,16.25,26.666666666666668,18.75
Analysing data,18.61111111111111,20.81578947368421,21.25,15.444444444444445,21.485294117647058,20.157894736842106,15.235294117647058,21.863636363636363,18.386363636363637,18.23076923076923,23.160714285714285,17.857142857142858,17.0,13.75,19.069767441860463,20.22222222222222,18.333333333333332,17.791666666666668
Communicating,17.916666666666668,20.131147540983605,22.05,15.25,18.29787234042553,16.176470588235293,17.65,18.51851851851852,20.18840579710145,17.5,14.8,18.813953488372093,24.0,17.0,17.321428571428573,18.296296296296298,20.264705882352942,27.98
Listening,15.0,20.625,21.5,17.0,17.318181818181817,15.0,17.0,17.5,25.0,20.0,17.0,18.23076923076923,12.5,19.5,14.444444444444445,24.0,21.8,26.107142857142858
Building rapport,15.947368421052632,17.466666666666665,18.333333333333332,13.571428571428571,19.142857142857142,16.285714285714285,15.0,14.347826086956522,19.6875,14.0,15.923076923076923,16.333333333333332,20.0,14.761904761904763,14.538461538461538,20.65,27.678571428571427,25.628205128205128
Managing people,15.0,15.32,17.058823529411764,20.0,18.095238095238095,17.7,18.703703703703702,16.904761904761905,20.76086956521739,21.428571428571427,17.03125,21.48780487804878,20.0,17.8125,19.227272727272727,18.209302325581394,23.475409836065573,24.720588235294116
Managing resources,18.23076923076923,20.526315789473685,20.6875,17.266666666666666,20.678571428571427,15.454545454545455,17.894736842105264,20.88888888888889,24.904761904761905,18.75,18.347826086956523,19.6,18.333333333333332,16.428571428571427,17.153846153846153,13.833333333333334,15.0,24.333333333333332
Admin,20.236842105263158,25.21917808219178,17.482758620689655,16.844444444444445,21.203703703703702,15.733333333333333,17.61904761904762,16.0,18.384615384615383,16.666666666666668,17.52,20.214285714285715,22.857142857142858,15.625,15.15,11.428571428571429,11.0,27.574468085106382
