task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,15.666666666666666,25.195652173913043,19.166666666666668,20.3,21.022727272727273,16.25,18.4375,19.0,21.73913043478261,17.0,19.2,13.736842105263158,0.0,10.0,18.263157894736842,16.6,20.22222222222222,22.037037037037038
Checking,14.375,24.6,20.555555555555557,20.0,22.285714285714285,17.5,24.0,15.0,18.0,25.0,19.166666666666668,15.0,0.0,18.333333333333332,18.181818181818183,16.0,0.0,20.0
Decision making,20.0,22.736842105263158,21.0,18.75,20.9,15.625,18.571428571428573,23.46153846153846,18.4375,14.0,20.454545454545453,17.5,15.0,20.0,22.5,21.428571428571427,18.571428571428573,17.5
Problem solving,21.25,23.714285714285715,18.071428571428573,15.625,20.756756756756758,17.857142857142858,18.454545454545453,18.181818181818183,20.612903225806452,17.5,20.0,21.25,10.0,19.285714285714285,20.136363636363637,15.714285714285714,20.0,20.238095238095237
Creative thinking,15.0,16.666666666666668,15.0,17.5,16.666666666666668,20.0,16.166666666666668,28.0,21.333333333333332,15.0,19.166666666666668,21.875,0.0,10.0,18.0,22.5,25.0,23.0
LT planning,20.0,20.0,12.5,17.5,16.666666666666668,0.0,15.0,20.833333333333332,29.23076923076923,20.0,18.333333333333332,16.25,10.0,10.0,20.0,14.166666666666666,22.5,18.333333333333332
ST planning,16.666666666666668,16.666666666666668,18.75,18.75,18.333333333333332,18.333333333333332,23.571428571428573,14.166666666666666,26.333333333333332,15.0,18.0,25.0,15.0,0.0,15.833333333333334,26.25,20.0,20.0
Tool use,0.0,10.0,22.5,20.0,0.0,20.0,20.0,0.0,20.0,20.0,20.0,20.0,0.0,20.0,22.5,20.0,20.0,0.0
Computer use,18.125,22.142857142857142,28.103448275862068,21.842105263157894,21.304347826086957,8.0,17.38095238095238,12.0,15.9375,15.0,21.5625,17.916666666666668,18.333333333333332,12.5,16.25,25.0,22.5,18.076923076923077
Coding,0.0,40.0,0.0,0.0,0.0,0.0,8.0,0.0,20.0,0.0,0.0,22.0,0.0,0.0,0.0,10.0,0.0,0.0
Data manipulation,0.0,17.857142857142858,24.166666666666668,19.0,21.875,15.0,16.666666666666668,16.666666666666668,23.75,13.333333333333334,20.90909090909091,30.0,0.0,5.0,18.75,15.0,25.0,12.5
Analysing data,18.0,20.0,24.09090909090909,15.0,21.4375,13.75,15.0,22.5,17.5,10.0,24.272727272727273,16.6,10.0,15.0,20.0,23.0,10.0,20.0
Communicating,20.0,19.6875,20.0,17.75,21.25,15.0,17.636363636363637,16.818181818181817,15.928571428571429,16.666666666666668,15.454545454545455,16.875,0.0,15.0,15.0,22.2,23.333333333333332,27.82608695652174
Listening,20.0,18.88888888888889,18.333333333333332,17.5,20.714285714285715,15.0,16.25,10.0,20.714285714285715,0.0,16.666666666666668,20.0,0.0,20.0,15.0,26.25,20.0,25.454545454545453
Building rapport,13.75,17.142857142857142,17.5,0.0,24.166666666666668,16.0,10.0,13.375,15.0,13.333333333333334,18.75,16.666666666666668,0.0,12.5,15.0,21.571428571428573,26.444444444444443,25.0
Managing people,10.0,23.333333333333332,17.5,23.333333333333332,25.0,15.0,10.0,17.5,21.25,0.0,16.0,18.333333333333332,0.0,20.0,20.0,23.333333333333332,18.88888888888889,22.5
Managing resources,20.0,22.5,0.0,20.0,25.0,0.0,20.0,15.0,20.0,0.0,15.0,0.0,0.0,0.0,21.666666666666668,0.0,0.0,20.0
Admin,20.0,27.727272727272727,17.272727272727273,15.833333333333334,21.764705882352942,20.0,18.571428571428573,17.5,15.875,17.5,18.071428571428573,17.5,28.333333333333332,15.0,14.166666666666666,0.0,0.0,25.76923076923077
