ability,pearson_companies_vs_online,cosine_companies_vs_online,n_valid_comparisons
EM,0.09832676461763327,0.8992282200025424,18
SM,0.1604984533841948,0.9630870401521976,18
ProcM,-0.01421464280895281,0.915577460068475,18
ProsM,0.5860083161320176,0.9518754310736235,18
WM,-0.4102813544615603,0.9143335993733891,18
AaIC,0.10527715320734193,0.897476641676448,18
CF,0.2503534066724394,0.9727102570737375,18
MS,0.49924584077728595,0.9357425422021425,18
P,0.6743493864984639,0.991112779948085,18
MC,-0.270605493981833,0.8456517236217452,18
PaPR,0.553572930979716,0.9755440194560292,18
FP,-0.0473203824097085,0.9480526645697718,18
SRaN,0.22303187126226612,0.6062793862889161,18
OP,-0.24018176965141794,0.8468931330194002,18
CR,0.1254827885527795,0.9601038314958033,18
ToM,0.5973755839215628,0.9438742250747275,18
EPaE,0.6127935624667141,0.9188740572926554,18
L,0.6312221590168938,0.9546415805923953,18
