task,EM,SM,ProcM,ProsM,WM,AaIC,CF,MS,P,MC,PaPR,FP,SRaN,OP,CR,ToM,EPaE,L
Researching,17.59375,23.75,20.789473684210527,17.5,22.445945945945947,16.266666666666666,16.333333333333332,16.88888888888889,19.661016949152543,19.22222222222222,19.62264150943396,19.333333333333332,15.846153846153847,19.166666666666668,19.032258064516128,17.294117647058822,20.0,21.29824561403509
Checking,16.29032258064516,21.93846153846154,22.491525423728813,17.033333333333335,19.569444444444443,19.103448275862068,17.942857142857143,18.764705882352942,22.307692307692307,19.772727272727273,23.367346938775512,17.5,19.357142857142858,16.823529411764707,18.4,20.642857142857142,24.5,18.636363636363637
Decision making,17.272727272727273,20.142857142857142,20.77777777777778,17.775,19.775280898876403,18.29032258064516,19.137931034482758,23.548387096774192,24.0,18.266666666666666,18.310344827586206,20.313725490196077,19.772727272727273,17.058823529411764,20.21917808219178,17.358974358974358,19.782608695652176,18.489795918367346
Problem solving,18.333333333333332,19.88157894736842,23.046875,15.344827586206897,21.019417475728154,21.586206896551722,20.152941176470588,21.114285714285714,21.869565217391305,17.08,18.423076923076923,18.471698113207548,20.346153846153847,16.166666666666668,19.808988764044944,16.6,19.425,20.446153846153845
Creative thinking,19.375,20.0,17.444444444444443,18.6,18.08,16.25,19.818181818181817,23.27777777777778,22.22222222222222,18.615384615384617,18.846153846153847,17.61904761904762,15.0,15.454545454545455,20.217391304347824,22.555555555555557,21.38888888888889,20.11764705882353
LT planning,16.71875,18.303030303030305,16.904761904761905,18.857142857142858,16.906976744186046,16.25,19.5,21.756756756756758,28.542857142857144,20.0,19.21875,18.333333333333332,16.666666666666668,16.181818181818183,17.8125,18.0,16.714285714285715,21.5
ST planning,15.882352941176471,20.0,20.0,19.11764705882353,19.081632653061224,16.25,18.88888888888889,19.782608695652176,27.65671641791045,18.125,18.68421052631579,15.818181818181818,19.642857142857142,15.285714285714286,19.133333333333333,17.8,20.833333333333332,18.14814814814815
Tool use,16.428571428571427,19.846153846153847,28.176470588235293,18.6,19.444444444444443,17.0,18.0,20.571428571428573,18.846153846153847,15.909090909090908,16.416666666666668,19.083333333333332,24.0,17.5,14.444444444444445,22.5,21.0,18.285714285714285
Computer use,18.333333333333332,20.605263157894736,24.53061224489796,19.428571428571427,19.315068493150687,18.620689655172413,18.814814814814813,17.0,18.511111111111113,19.166666666666668,18.466666666666665,18.424242424242426,23.846153846153847,14.375,18.0,17.142857142857142,22.5,21.060606060606062
Coding,18.75,19.8,27.916666666666668,17.0,25.555555555555557,17.5,16.25,10.0,21.2,17.5,14.818181818181818,18.333333333333332,0.0,25.0,17.833333333333332,20.0,0.0,17.0
Data manipulation,16.875,20.90909090909091,21.34375,19.444444444444443,19.125,20.0,14.615384615384615,15.454545454545455,23.875,17.0,20.27777777777778,21.5,20.0,17.5,19.0,20.0,27.5,21.875
Analysing data,18.846153846153847,21.050847457627118,20.405405405405407,15.666666666666666,21.5,21.866666666666667,15.266666666666667,21.5,18.583333333333332,19.727272727272727,22.88888888888889,18.555555555555557,17.875,13.333333333333334,18.857142857142858,18.0,22.5,16.88235294117647
Communicating,17.727272727272727,20.288888888888888,22.157894736842106,14.75,17.692307692307693,16.428571428571427,17.655172413793103,19.6875,21.272727272727273,17.647058823529413,14.5,19.257142857142856,24.0,17.22222222222222,17.6,17.40909090909091,19.607142857142858,28.025974025974026
Listening,13.333333333333334,21.666666666666668,22.857142857142858,16.666666666666668,15.733333333333333,15.0,17.5,21.25,29.285714285714285,20.0,17.142857142857142,17.444444444444443,12.5,19.0,14.285714285714286,23.181818181818183,22.571428571428573,26.529411764705884
Building rapport,16.533333333333335,17.565217391304348,18.571428571428573,13.571428571428571,17.133333333333333,16.375,15.789473684210526,14.866666666666667,20.357142857142858,14.133333333333333,15.193548387096774,16.25925925925926,20.0,15.294117647058824,14.454545454545455,20.369565217391305,28.015151515151516,25.816666666666666
Managing people,15.3125,14.227272727272727,17.0,19.473684210526315,17.36842105263158,18.0,19.4,16.764705882352942,20.657894736842106,21.428571428571427,17.22222222222222,21.736842105263158,20.0,17.083333333333332,19.15,17.37837837837838,24.26923076923077,25.103448275862068
Managing resources,18.083333333333332,20.294117647058822,20.6875,17.071428571428573,20.51851851851852,15.454545454545455,17.77777777777778,21.625,25.15,18.75,18.5,19.6,18.333333333333332,16.428571428571427,15.8,13.833333333333334,15.0,24.642857142857142
Admin,20.346153846153847,24.137254901960784,17.61111111111111,17.21212121212121,20.945945945945947,15.076923076923077,17.142857142857142,13.75,19.032258064516128,16.428571428571427,16.818181818181817,21.3,18.75,16.25,16.625,11.428571428571429,11.0,28.264705882352942
