dataset name,sample id,Causal Reasoning,Cognitive Flexibility,Emotion Perception and Empathy,Episodic Memory,Functional Perception,Inhibitory Control,Language,Mental Simulation,Metacognition,Object Permanence,Perception and Pattern Recognition,Planning,Procedural Memory,Prospective Memory,Semantic Memory,Spatial Reasoning and Navigation,Theory of Mind,Working Memory
AGIEval_freeform,1,0,0,0,0,0,1,1,2,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,10,0,1,0,0,1,1,2,2,2,0,1,2,3,0,3,0,0,3
AGIEval_freeform,100,0,0,0,0,1,1,1,2,1,0,2,1,3,0,3,0,0,3
AGIEval_freeform,1000,0,0,0,0,0,1,1,2,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1001,0,0,0,0,1,1,1,2,2,0,3,2,3,0,3,0,0,3
AGIEval_freeform,1002,0,0,0,0,2,2,2,2,2,0,2,2,2,0,2,2,0,3
AGIEval_freeform,1003,0,0,0,0,1,1,2,2,1,0,2,1,2,0,2,2,0,2
AGIEval_freeform,1004,0,0,0,0,2,3,1,2,2,0,2,2,2,0,3,0,0,2
AGIEval_freeform,1005,0,0,0,0,0,1,2,2,1,0,2,1,2,0,1,0,0,3
AGIEval_freeform,1006,0,0,0,0,0,1,1,2,1,0,2,1,2,0,2,0,0,3
AGIEval_freeform,1007,0,0,0,0,0,1,1,0,1,0,2,1,2,0,2,2,0,3
AGIEval_freeform,1008,0,0,0,0,0,1,1,0,1,0,1,1,3,0,2,2,0,3
AGIEval_freeform,1009,0,0,0,0,0,1,1,1,1,0,2,1,2,0,2,0,0,3
AGIEval_freeform,101,0,0,0,0,0,1,2,0,1,0,1,1,3,0,2,0,0,3
AGIEval_freeform,1011,2,1,0,0,1,1,2,2,2,0,2,2,2,0,2,2,0,3
AGIEval_freeform,1012,0,0,0,0,0,1,1,0,1,0,1,0,2,0,2,0,0,3
AGIEval_freeform,1013,0,0,0,0,0,1,2,2,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1015,0,0,0,0,0,1,1,0,1,0,1,0,1,0,2,0,0,0
AGIEval_freeform,1017,0,0,0,0,0,1,1,2,1,0,2,2,3,0,2,0,0,3
AGIEval_freeform,1018,0,0,0,0,0,1,1,0,1,0,1,1,3,0,2,0,0,3
AGIEval_freeform,1019,0,0,0,,0,1,1,2,1,0,1,1,2,0,3,0,0,3
AGIEval_freeform,102,0,1,0,0,0,1,1,2,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1021,0,0,0,0,1,1,2,2,2,0,2,2,2,0,2,3,0,3
AGIEval_freeform,1023,0,0,0,0,0,1,1,0,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1024,0,0,0,0,0,1,1,1,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1025,0,0,0,0,0,1,1,0,1,0,1,1,2,0,2,2,0,3
AGIEval_freeform,1026,0,0,0,0,0,1,2,2,1,0,2,2,3,0,2,0,0,3
AGIEval_freeform,1027,0,0,0,0,0,1,1,0,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1028,0,0,0,0,0,1,1,0,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1029,0,0,0,0,0,0,1,0,1,0,2,1,3,0,3,0,0,1
AGIEval_freeform,103,0,0,0,0,2,1,1,2,1,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1030,0,0,0,0,0,1,1,0,1,0,1,0,1,0,2,0,0,3
AGIEval_freeform,1031,0,0,0,0,0,1,2,2,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1032,0,0,0,0,0,1,1,2,1,0,1,2,3,0,2,0,0,3
AGIEval_freeform,1033,0,0,0,0,2,3,2,2,2,0,3,2,3,0,3,3,0,3
AGIEval_freeform,1035,0,0,0,0,0,1,1,0,0,0,0,0,1,0,2,0,0,0
AGIEval_freeform,1036,0,0,0,0,0,1,0,2,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1037,0,0,0,0,1,1,2,2,1,0,2,2,3,0,2,0,0,3
AGIEval_freeform,1039,0,0,0,0,1,1,2,0,1,0,1,2,3,0,2,0,0,3
AGIEval_freeform,104,0,2,0,0,2,1,2,3,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1040,0,0,0,0,0,1,1,0,0,0,1,0,2,0,2,0,0,1
AGIEval_freeform,1042,0,1,0,0,1,1,2,2,2,0,2,2,3,0,3,0,0,4
AGIEval_freeform,1043,0,0,0,0,0,1,1,2,1,0,2,2,2,0,2,0,0,3
AGIEval_freeform,1044,0,0,0,0,1,1,1,2,1,0,2,1,2,0,2,0,0,3
AGIEval_freeform,1045,0,0,0,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0
AGIEval_freeform,1047,0,0,0,0,1,1,2,1,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1049,0,0,0,0,1,1,2,2,2,0,2,1,2,0,2,0,0,3
AGIEval_freeform,105,0,1,0,0,0,1,2,2,2,0,1,2,3,0,3,0,0,3
AGIEval_freeform,1052,0,0,0,0,0,1,1,2,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1053,0,0,0,0,1,1,1,1,1,0,2,2,3,0,3,2,0,3
AGIEval_freeform,1054,0,0,0,0,0,1,1,3,2,0,3,2,3,0,3,0,0,3
AGIEval_freeform,1055,0,0,0,0,1,1,2,1,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1056,1,0,0,0,1,1,2,1,1,0,2,1,2,0,2,2,0,3
AGIEval_freeform,1057,0,0,0,0,0,1,1,2,2,0,3,2,3,0,3,0,0,3
AGIEval_freeform,1058,0,0,0,0,0,1,1,0,0,0,0,1,2,0,2,0,0,3
AGIEval_freeform,1059,0,0,0,0,0,1,1,2,1,0,2,1,2,0,2,0,0,3
AGIEval_freeform,106,0,0,0,0,3,1,2,3,2,0,3,2,3,0,3,3,0,4
AGIEval_freeform,1060,0,0,0,0,0,1,1,0,1,0,1,0,2,0,2,0,0,3
AGIEval_freeform,1061,0,0,0,0,0,1,1,0,1,0,2,1,2,0,2,0,0,3
AGIEval_freeform,1062,0,0,0,0,0,1,2,0,2,0,2,2,3,0,2,0,0,3
AGIEval_freeform,1063,0,0,0,0,0,1,2,2,2,0,2,2,2,0,2,3,0,3
AGIEval_freeform,1064,0,2,0,0,0,1,1,2,3,0,3,2,3,0,3,0,0,3
AGIEval_freeform,1065,0,0,0,0,1,1,2,2,1,0,2,2,2,0,3,2,0,3
AGIEval_freeform,1066,0,0,0,0,2,1,1,2,1,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1067,0,1,0,0,0,1,1,3,3,0,3,2,4,0,3,0,0,4
AGIEval_freeform,1068,0,0,0,0,1,2,1,2,2,0,3,2,2,0,2,3,0,4
AGIEval_freeform,107,0,0,0,0,1,1,1,1,1,0,1,1,1,0,2,0,0,0
AGIEval_freeform,1070,0,0,0,0,0,1,1,0,1,0,1,0,1,0,2,0,0,0
AGIEval_freeform,1071,0,0,0,0,0,1,2,0,1,0,2,2,2,0,2,0,0,3
AGIEval_freeform,1072,0,0,0,0,0,1,1,0,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1073,0,0,0,0,0,1,1,1,2,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1074,0,0,0,0,1,1,2,2,1,0,2,2,3,0,3,3,0,3
AGIEval_freeform,1075,0,0,0,0,0,1,2,2,2,0,2,1,3,0,3,0,0,3
AGIEval_freeform,1076,0,0,0,0,0,1,1,1,1,0,1,1,1,0,2,0,0,3
AGIEval_freeform,1078,0,0,0,0,1,1,2,2,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1079,0,2,0,0,0,1,2,2,1,0,2,1,2,0,3,2,0,3
AGIEval_freeform,1081,0,0,0,0,0,1,1,2,1,0,2,1,2,0,2,0,0,3
AGIEval_freeform,1083,0,0,0,0,0,1,1,2,2,0,1,2,2,0,1,0,0,3
AGIEval_freeform,1084,0,0,0,0,1,1,1,2,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1085,0,0,0,0,0,1,1,2,1,0,1,1,1,0,2,0,0,3
AGIEval_freeform,1087,0,0,0,0,1,1,1,0,1,0,2,1,3,0,3,0,0,3
AGIEval_freeform,1088,0,0,0,0,0,1,1,2,1,0,1,1,1,0,2,0,0,3
AGIEval_freeform,1089,0,0,0,0,1,1,1,2,1,0,2,2,3,0,3,0,0,3
AGIEval_freeform,109,0,0,0,0,0,1,1,2,1,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1090,0,0,0,0,2,1,1,2,3,0,3,2,2,0,2,0,0,3
AGIEval_freeform,1091,2,0,0,0,1,2,2,2,2,0,2,2,3,0,2,2,0,3
AGIEval_freeform,1094,0,0,0,0,1,1,1,2,1,0,2,2,2,0,3,0,0,3
AGIEval_freeform,1095,0,0,0,0,1,1,1,2,1,0,1,2,2,0,3,2,0,3
AGIEval_freeform,1096,0,0,0,0,0,1,1,2,2,0,2,2,3,0,3,0,0,3
AGIEval_freeform,1098,0,0,0,0,2,3,1,2,2,0,3,2,3,0,3,0,0,3
AGIEval_freeform,1099,0,0,0,0,0,1,1,3,1,0,2,2,3,0,3,0,0,3
AGIEval_freeform,110,0,0,0,0,1,1,1,1,1,0,1,1,2,0,2,0,0,3
AGIEval_freeform,1100,0,0,0,0,0,1,1,0,1,0,1,1,2,0,2,1,0,3
AGIEval_freeform,1101,0,0,0,0,0,1,2,0,1,0,1,1,2,0,2,0,0,3
