dataset name,sample id,primary_capability,primary_d_level,Causal Reasoning,Cognitive Flexibility,Episodic Memory,Functional Perception,Inhibitory Control,Language,Mental Simulation,Metacognition,Perception and Pattern Recognition,Planning,Procedural Memory,Semantic Memory,Spatial Reasoning and Navigation,Theory of Mind,Working Memory
BigToM,4098,Causal Reasoning,1,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0
INTUIT,3979,Causal Reasoning,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
EmoBench,ea_105_zh,Causal Reasoning,2,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,1.0,0.0,2.0,0.0,1.0,1.0
Plan_Bench,blocksworld_task_8_2_full_to_partial_403,Causal Reasoning,2,2.0,0.0,0.0,1.0,1.0,1.0,2.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,2.0
Plan_Bench,mystery_blocksworld_3_task_8_3_partial_to_full_49,Causal Reasoning,3,3.0,3.0,0.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,3.0
AGIEval_mcq,3239,Causal Reasoning,3,3.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,0.0,1.0,0.0,0.0,2.0
Crow,677,Causal Reasoning,4,4.0,2.0,0.0,1.0,3.0,2.0,1.0,3.0,2.0,0.0,0.0,3.0,0.0,2.0,2.0
Crow,1183,Causal Reasoning,4,4.0,4.0,0.0,2.0,2.0,3.0,3.0,4.0,4.0,0.0,0.0,3.0,0.0,2.0,2.0
INTUIT,1560,Causal Reasoning,1,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
INTUIT,1901,Causal Reasoning,1,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
Fantom,1518,Cognitive Flexibility,2,1.0,2.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0
INTUIT,5221,Cognitive Flexibility,2,1.0,2.0,1.0,2.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
StepGame,stepgame_40af0a3f,Cognitive Flexibility,3,0.0,3.0,0.0,2.0,1.0,2.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,0.0,3.0
LLM_BabyBench_plan,babybench_plan_a969ada5,Cognitive Flexibility,3,1.0,3.0,0.0,2.0,2.0,1.0,2.0,3.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0
Plan_Bench,logistics_task_8_2_full_to_partial_32,Cognitive Flexibility,4,1.0,4.0,3.0,3.0,1.0,0.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,0.0,4.0
MetaMedQA,metamedqa_b65bcc33,Cognitive Flexibility,4,3.0,4.0,0.0,2.0,3.0,2.0,0.0,3.0,3.0,1.0,4.0,4.0,0.0,0.0,3.0
Plan_Bench,mystery_blocksworld_task_6_replanning_226,Cognitive Flexibility,5,2.0,5.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,0.0,0.0,0.0,4.0
Plan_Bench,mystery_blocksworld_task_6_replanning_328,Cognitive Flexibility,5,3.0,5.0,2.0,3.0,3.0,3.0,2.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,4.0
INTUIT,5056,Episodic Memory,1,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
OpenTOM,11269,Episodic Memory,1,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
EmoBench,eu_cause_77_zh,Episodic Memory,2,1.0,0.0,2.0,1.0,1.0,2.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,1.0
Fantom,1407,Episodic Memory,2,1.0,1.0,2.0,2.0,2.0,2.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,2.0,2.0
StepGame,stepgame_b270fbde,Cognitive Flexibility,3,0.0,3.0,3.0,3.0,3.0,2.0,1.0,3.0,3.0,2.0,0.0,0.0,2.0,0.0,3.0
INTUIT,5703,Episodic Memory,3,1.0,2.0,3.0,2.0,2.0,3.0,1.0,2.0,2.0,1.0,0.0,2.0,1.0,3.0,3.0
StepGame,stepgame_043b0487,Episodic Memory,4,0.0,3.0,4.0,3.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,1.0,4.0,0.0,4.0
StepGame,stepgame_3ba07fb5,Cognitive Flexibility,4,0.0,4.0,4.0,1.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,2.0,3.0,0.0,4.0
Fantom,531,Causal Reasoning,1,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
CoQA,3hfnh7hemhei4jimtkd1pojg5i6qgk_4,Functional Perception,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
Crow,8293,Functional Perception,2,1.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0
Fantom,3707,Functional Perception,2,0.0,0.0,1.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,2.0
Text_Navigation,957,Functional Perception,3,0.0,2.0,0.0,3.0,2.0,0.0,1.0,3.0,2.0,2.0,3.0,1.0,2.0,0.0,3.0
MacGyver,769,Cognitive Flexibility,3,1.0,3.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,3.0,2.0,0.0,2.0
MacGyver,1229,Functional Perception,4,2.0,3.0,2.0,4.0,2.0,2.0,2.0,3.0,3.0,2.0,2.0,3.0,2.0,0.0,3.0
MacGyver,1417,Functional Perception,4,1.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,2.0,1.0,0.0,1.0
MacGyver,1152,Functional Perception,5,2.0,4.0,0.0,5.0,1.0,2.0,2.0,4.0,3.0,2.0,3.0,2.0,3.0,0.0,3.0
MacGyver,272,Functional Perception,5,2.0,3.0,0.0,5.0,3.0,2.0,2.0,3.0,3.0,2.0,3.0,4.0,2.0,0.0,4.0
EmoBench,eu_emo_160_en,Causal Reasoning,1,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
BigBenchHard,1197,Functional Perception,1,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0
BigToM,1335,Inhibitory Control,2,1.0,0.0,1.0,1.0,2.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,1.0
Fantom,3381,Inhibitory Control,2,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
MetaMedQA,metamedqa_212d079a,Functional Perception,3,2.0,1.0,0.0,3.0,3.0,3.0,0.0,2.0,3.0,0.0,1.0,3.0,0.0,0.0,3.0
