StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q1.1,Q2.0_Browser,Q2.0_Version,Q2.0_Operating System,Q2.0_Resolution,Q2.1,Q2.2,Q2.3,Q2.4,Q2.5,Q2.11,Q2.6_1,Q2.7,Q2.8,Q2.9,Q2.10_1_1,Q2.10_1_2,Q2.10_2_1,Q2.10_2_2,Q2.10_3_1,Q2.10_3_2,Q2.10_4_1,Q2.10_4_2,Q2.10_5_1,Q2.10_5_2,Q3.1,Q3.1_19_TEXT,Q3.1_20_TEXT,Q3.1_21_TEXT,Q3.2_1,Q3.2_2,Q3.2_3,Q3.2_4,Q3.2_5,Q3.2_6,Q3.2_7,Q3.2_8,Q3.2_9,Q3.2_10,Q3.2_11,Q3.2_12,Q3.2_13,Q3.2_14,Q3.2_15,Q3.2_16,Q3.2_17,Q3.2_18,Q3.2_19,Q3.2_19_TEXT,Q3.2_20,Q3.2_20_TEXT,Q3.2_21,Q3.2_21_TEXT,Q3.3_1,Q3.3_2,Q3.3_3,Q3.3_4,Q3.3_5,Q3.3_6,Q3.3_7,Q3.3_8,Q3.3_9,Q3.3_10,Q3.3_11,Q3.3_12,Q3.3_13,Q3.3_14,Q3.3_15,Q3.3_16,Q3.3_17,Q3.3_18,Q3.3_19,Q3.3_19_TEXT,Q3.3_20,Q3.3_20_TEXT,Q3.3_21,Q3.3_21_TEXT,Q3.4_1,Q3.4_2,Q3.4_3,Q3.4_4,Q3.4_5,Q3.4_6,Q3.4_7,Q3.4_8,Q3.4_9,Q3.4_10,Q3.4_11,Q3.4_12,Q3.4_13,Q3.4_47,Q3.4_48,Q3.4_52,Q3.4_53,Q3.4_54,Q3.4_55,Q3.4_55_TEXT,Q3.4_56,Q3.4_56_TEXT,Q3.4_57,Q3.4_57_TEXT,Q3.5_1,Q3.5_2,Q3.5_3,Q3.5_4,Q3.5_5,Q3.5_6,Q3.5_7,Q3.5_8,Q3.5_9,Q3.5_10,Q3.5_11,Q3.5_12,Q3.5_13,Q3.5_47,Q3.5_48,Q3.5_52,Q3.5_53,Q3.5_54,Q3.5_55,Q3.5_55_TEXT,Q3.5_56,Q3.5_56_TEXT,Q3.5_57,Q3.5_57_TEXT,Q4.12,Q4.13,Q4.14,Q4.25,Q4.26,Q4.27,1_Q5.1,1_Q5.3,1_Q5.4_1,1_Q5.4_2,1_Q5.4_3,1_Q5.4_4,1_Q5.4_5,1_Q5.4_6,1_Q5.4_7,1_Q5.4_8,1_Q5.4_9,1_Q5.4_10,1_Q5.4_11,1_Q5.4_12,1_Q5.4_13,1_Q5.4_14,1_Q5.4_15,1_Q5.4_16,1_Q5.4_17,1_Q5.4_18,2_Q5.1,2_Q5.3,2_Q5.4_1,2_Q5.4_2,2_Q5.4_3,2_Q5.4_4,2_Q5.4_5,2_Q5.4_6,2_Q5.4_7,2_Q5.4_8,2_Q5.4_9,2_Q5.4_10,2_Q5.4_11,2_Q5.4_12,2_Q5.4_13,2_Q5.4_14,2_Q5.4_15,2_Q5.4_16,2_Q5.4_17,2_Q5.4_18,3_Q5.1,3_Q5.3,3_Q5.4_1,3_Q5.4_2,3_Q5.4_3,3_Q5.4_4,3_Q5.4_5,3_Q5.4_6,3_Q5.4_7,3_Q5.4_8,3_Q5.4_9,3_Q5.4_10,3_Q5.4_11,3_Q5.4_12,3_Q5.4_13,3_Q5.4_14,3_Q5.4_15,3_Q5.4_16,3_Q5.4_17,3_Q5.4_18,4_Q5.1,4_Q5.3,4_Q5.4_1,4_Q5.4_2,4_Q5.4_3,4_Q5.4_4,4_Q5.4_5,4_Q5.4_6,4_Q5.4_7,4_Q5.4_8,4_Q5.4_9,4_Q5.4_10,4_Q5.4_11,4_Q5.4_12,4_Q5.4_13,4_Q5.4_14,4_Q5.4_15,4_Q5.4_16,4_Q5.4_17,4_Q5.4_18,5_Q5.1,5_Q5.3,5_Q5.4_1,5_Q5.4_2,5_Q5.4_3,5_Q5.4_4,5_Q5.4_5,5_Q5.4_6,5_Q5.4_7,5_Q5.4_8,5_Q5.4_9,5_Q5.4_10,5_Q5.4_11,5_Q5.4_12,5_Q5.4_13,5_Q5.4_14,5_Q5.4_15,5_Q5.4_16,5_Q5.4_17,5_Q5.4_18,6_Q5.1,6_Q5.3,6_Q5.4_1,6_Q5.4_2,6_Q5.4_3,6_Q5.4_4,6_Q5.4_5,6_Q5.4_6,6_Q5.4_7,6_Q5.4_8,6_Q5.4_9,6_Q5.4_10,6_Q5.4_11,6_Q5.4_12,6_Q5.4_13,6_Q5.4_14,6_Q5.4_15,6_Q5.4_16,6_Q5.4_17,6_Q5.4_18,7_Q5.1,7_Q5.3,7_Q5.4_1,7_Q5.4_2,7_Q5.4_3,7_Q5.4_4,7_Q5.4_5,7_Q5.4_6,7_Q5.4_7,7_Q5.4_8,7_Q5.4_9,7_Q5.4_10,7_Q5.4_11,7_Q5.4_12,7_Q5.4_13,7_Q5.4_14,7_Q5.4_15,7_Q5.4_16,7_Q5.4_17,7_Q5.4_18,8_Q5.1,8_Q5.3,8_Q5.4_1,8_Q5.4_2,8_Q5.4_3,8_Q5.4_4,8_Q5.4_5,8_Q5.4_6,8_Q5.4_7,8_Q5.4_8,8_Q5.4_9,8_Q5.4_10,8_Q5.4_11,8_Q5.4_12,8_Q5.4_13,8_Q5.4_14,8_Q5.4_15,8_Q5.4_16,8_Q5.4_17,8_Q5.4_18,9_Q5.1,9_Q5.3,9_Q5.4_1,9_Q5.4_2,9_Q5.4_3,9_Q5.4_4,9_Q5.4_5,9_Q5.4_6,9_Q5.4_7,9_Q5.4_8,9_Q5.4_9,9_Q5.4_10,9_Q5.4_11,9_Q5.4_12,9_Q5.4_13,9_Q5.4_14,9_Q5.4_15,9_Q5.4_16,9_Q5.4_17,9_Q5.4_18,10_Q5.1,10_Q5.3,10_Q5.4_1,10_Q5.4_2,10_Q5.4_3,10_Q5.4_4,10_Q5.4_5,10_Q5.4_6,10_Q5.4_7,10_Q5.4_8,10_Q5.4_9,10_Q5.4_10,10_Q5.4_11,10_Q5.4_12,10_Q5.4_13,10_Q5.4_14,10_Q5.4_15,10_Q5.4_16,10_Q5.4_17,10_Q5.4_18,11_Q5.1,11_Q5.3,11_Q5.4_1,11_Q5.4_2,11_Q5.4_3,11_Q5.4_4,11_Q5.4_5,11_Q5.4_6,11_Q5.4_7,11_Q5.4_8,11_Q5.4_9,11_Q5.4_10,11_Q5.4_11,11_Q5.4_12,11_Q5.4_13,11_Q5.4_14,11_Q5.4_15,11_Q5.4_16,11_Q5.4_17,11_Q5.4_18,12_Q5.1,12_Q5.3,12_Q5.4_1,12_Q5.4_2,12_Q5.4_3,12_Q5.4_4,12_Q5.4_5,12_Q5.4_6,12_Q5.4_7,12_Q5.4_8,12_Q5.4_9,12_Q5.4_10,12_Q5.4_11,12_Q5.4_12,12_Q5.4_13,12_Q5.4_14,12_Q5.4_15,12_Q5.4_16,12_Q5.4_17,12_Q5.4_18,13_Q5.1,13_Q5.3,13_Q5.4_1,13_Q5.4_2,13_Q5.4_3,13_Q5.4_4,13_Q5.4_5,13_Q5.4_6,13_Q5.4_7,13_Q5.4_8,13_Q5.4_9,13_Q5.4_10,13_Q5.4_11,13_Q5.4_12,13_Q5.4_13,13_Q5.4_14,13_Q5.4_15,13_Q5.4_16,13_Q5.4_17,13_Q5.4_18,14_Q5.1,14_Q5.3,14_Q5.4_1,14_Q5.4_2,14_Q5.4_3,14_Q5.4_4,14_Q5.4_5,14_Q5.4_6,14_Q5.4_7,14_Q5.4_8,14_Q5.4_9,14_Q5.4_10,14_Q5.4_11,14_Q5.4_12,14_Q5.4_13,14_Q5.4_14,14_Q5.4_15,14_Q5.4_16,14_Q5.4_17,14_Q5.4_18,15_Q5.1,15_Q5.3,15_Q5.4_1,15_Q5.4_2,15_Q5.4_3,15_Q5.4_4,15_Q5.4_5,15_Q5.4_6,15_Q5.4_7,15_Q5.4_8,15_Q5.4_9,15_Q5.4_10,15_Q5.4_11,15_Q5.4_12,15_Q5.4_13,15_Q5.4_14,15_Q5.4_15,15_Q5.4_16,15_Q5.4_17,15_Q5.4_18,16_Q5.1,16_Q5.3,16_Q5.4_1,16_Q5.4_2,16_Q5.4_3,16_Q5.4_4,16_Q5.4_5,16_Q5.4_6,16_Q5.4_7,16_Q5.4_8,16_Q5.4_9,16_Q5.4_10,16_Q5.4_11,16_Q5.4_12,16_Q5.4_13,16_Q5.4_14,16_Q5.4_15,16_Q5.4_16,16_Q5.4_17,16_Q5.4_18,17_Q5.1,17_Q5.3,17_Q5.4_1,17_Q5.4_2,17_Q5.4_3,17_Q5.4_4,17_Q5.4_5,17_Q5.4_6,17_Q5.4_7,17_Q5.4_8,17_Q5.4_9,17_Q5.4_10,17_Q5.4_11,17_Q5.4_12,17_Q5.4_13,17_Q5.4_14,17_Q5.4_15,17_Q5.4_16,17_Q5.4_17,17_Q5.4_18,18_Q5.1,18_Q5.3,18_Q5.4_1,18_Q5.4_2,18_Q5.4_3,18_Q5.4_4,18_Q5.4_5,18_Q5.4_6,18_Q5.4_7,18_Q5.4_8,18_Q5.4_9,18_Q5.4_10,18_Q5.4_11,18_Q5.4_12,18_Q5.4_13,18_Q5.4_14,18_Q5.4_15,18_Q5.4_16,18_Q5.4_17,18_Q5.4_18,19_Q5.1,19_Q5.3,19_Q5.4_1,19_Q5.4_2,19_Q5.4_3,19_Q5.4_4,19_Q5.4_5,19_Q5.4_6,19_Q5.4_7,19_Q5.4_8,19_Q5.4_9,19_Q5.4_10,19_Q5.4_11,19_Q5.4_12,19_Q5.4_13,19_Q5.4_14,19_Q5.4_15,19_Q5.4_16,19_Q5.4_17,19_Q5.4_18,20_Q5.1,20_Q5.3,20_Q5.4_1,20_Q5.4_2,20_Q5.4_3,20_Q5.4_4,20_Q5.4_5,20_Q5.4_6,20_Q5.4_7,20_Q5.4_8,20_Q5.4_9,20_Q5.4_10,20_Q5.4_11,20_Q5.4_12,20_Q5.4_13,20_Q5.4_14,20_Q5.4_15,20_Q5.4_16,20_Q5.4_17,20_Q5.4_18,21_Q5.1,21_Q5.3,21_Q5.4_1,21_Q5.4_2,21_Q5.4_3,21_Q5.4_4,21_Q5.4_5,21_Q5.4_6,21_Q5.4_7,21_Q5.4_8,21_Q5.4_9,21_Q5.4_10,21_Q5.4_11,21_Q5.4_12,21_Q5.4_13,21_Q5.4_14,21_Q5.4_15,21_Q5.4_16,21_Q5.4_17,21_Q5.4_18,Q6.1_1,Q6.1_2,Q6.1_3,Q6.2_1,Q6.3_1,Q6.4,PID
,,0,,100,2155,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1536x864,,,,4.0,31.0,6.0,100.0,,1.0,10.0,JD,LAW,AB,Political Science,,,,,,,"1,3,5,15,16",,,,3.0,,5.0,,4.0,,,,,,,,,,1.0,2.0,,,,,,,,,8.0,,3.0,,3.0,,,,,,,,,,10.0,16.0,,,,,,,,,80.0,,88.0,,40.0,,,,,,,,,,99.0,100.0,,,,,,,,,80.0,,20.0,,19.0,,,,,,,,,,60.0,80.0,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,"1,2,5,8,12",20.0,35.0,,,20.0,,,10.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,8,16,17,18",,,,,,,15.0,20.0,,,,,,,,30.0,20.0,15.0,,,,,,,,,,,,,,,,,,,,,,"8,10,12,16,18",,,,,,,,25.0,,10.0,,25.0,,,,25.0,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,9,12,16,17",,,,,15.0,,,,10.0,,,25.0,,,,30.0,20.0,,,"8,9,16,17,18",,,,,,,,10.0,10.0,,,,,,,30.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69.0,80.0,60.0,100.0,31.0,,
,,0,,100,3292,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1920x1080,,,,1.0,6.0,3.0,80.0,,2.0,9.0,MA,Linguistics,,,,,,,,,"1,9,11,12,14",,,,5.0,,,,,,,,4.0,,1.0,2.0,,3.0,,,,,,,,,,,15.0,,,,,,,,30.0,,20.0,20.0,,5.0,,,,,,,,,,,40.0,,,,,,,,2.0,,40.0,20.0,,80.0,,,,,,,,,,,21.0,,,,,,,,95.0,,99.0,80.0,,20.0,,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,"9,11,12,14,18",,,,,,,,,60.0,,15.0,5.0,,5.0,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3,4,7,9",,5.0,30.0,50.0,,,10.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,4,15,16,18",,,30.0,40.0,,,,,,,,,,,10.0,10.0,,10.0,,"7,9,15,16,18",,,,,,,20.0,,20.0,,,,,,10.0,25.0,,25.0,,,,,,,,,,,,,,,,,,,,,,"7,9,11,15,16",,,,,,,15.0,,30.0,,30.0,,,,10.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,100.0,100.0,80.0,70.0,,
,,0,,100,4917,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1280x720,,,,0.0,0.0,6.0,50.0,,2.0,9.0,BA,Modern Languages,MPhil,Classics,,,,,,,"1,5,6,11,14",,,,3.0,,,,4.0,5.0,,,,,1.0,,,2.0,,,,,,,,,,,8.0,,,,5.0,3.0,,,,,10.0,,,7.0,,,,,,,,,,,80.0,,,,47.0,100.0,,,,,20.0,,,50.0,,,,,,,,,,,70.0,,,,50.0,5.0,,,,,100.0,,,20.0,,,,,,,,,,,1.0,1.0,1.0,1.0,3.0,1.0,,"7,12,16,17,18",,,,,,,25.0,,,,,10.0,,,,15.0,30.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,4,16,17,18",,,10.0,15.0,,,,,,,,,,,,25.0,25.0,25.0,,"9,15,16,17,18",,,,,,,,,30.0,,,,,,20.0,20.0,15.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"11,12,16,17,18",,,,,,,,,,,15.0,30.0,,,,20.0,25.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,9,14,16,17",,15.0,,,,,,,20.0,,,,,20.0,,30.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80.0,80.0,70.0,50.0,40.0,,
,,0,,100,15881,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1920x1080,,,,1.0,10.0,3.0,60.0,,2.0,9.0,MA,"Anglo-Saxon, Norse & Celtic",MA,Medieval Studies,,,,,,,"1,9,11,12,18",,,,4.0,,,,,,,,5.0,,2.0,3.0,,,,,,1.0,,,,,,,12.0,,,,,,,,22.0,,22.0,20.0,,,,,,22.0,,,,,,,12.0,,,,,,,,3.0,,12.0,40.0,,,,,,7.0,,,,,,,91.0,,,,,,,,100.0,,93.0,93.0,,,,,,90.0,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,"1,2,5,11,12",15.0,30.0,,,15.0,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3,4,5,12",,25.0,25.0,20.0,15.0,,,,,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3,9,11,15",,10.0,20.0,,,,,,25.0,,25.0,,,,20.0,,,,,"2,11,12,16,18",,20.0,,,,,,,,,20.0,20.0,,,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3,8,9,18",,25.0,20.0,,,,,10.0,20.0,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,99.0,80.0,65.0,60.0,,
,,0,,100,2894,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1920x1080,,,,10.0,10.0,6.0,50.0,,2.0,8.0,BScHons,Biology (and ancilliary Psychology),,,,,,,,,"5,7,11,13,15",,,,,,,,3.0,,4.0,,,,5.0,,2.0,,1.0,,,,,,,,,,,,,,4.0,,4.0,,,,4.0,,4.0,,4.0,,,,,,,,,,,,,,40.0,,40.0,,,,20.0,,60.0,,100.0,,,,,,,,,,,,,,8.0,,21.0,,,,100.0,,20.0,,9.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,12,15,16,18",,,,,,,,,,10.0,,20.0,,,10.0,30.0,,30.0,,,,,,,,,,,,,,,,,,,,,,"7,8,9,10,16",,,,,,,30.0,10.0,40.0,10.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,7,9,11,14",,,10.0,,,,10.0,,25.0,,50.0,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,"8,12,16,17,18",,,,,,,,5.0,,,,5.0,,,,30.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,"8,15,16,17,18",,,,,,,,10.0,,,,,,,10.0,20.0,30.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.0,39.0,80.0,4.0,5.0,,
,,0,,100,54243,1,,,,,,,,,,,1,Chrome,125.0.0.0,Windows,1920x1080,,,,19.0,33.0,6.0,50.0,,1.0,8.0,BA,Languages,,,,,,,,,"3,4,7,13,15",,,,,,4.0,3.0,,,5.0,,,,,,2.0,,1.0,,,,,,,,,,,,8.0,7.0,,,7.0,,,,,,7.0,,12.0,,,,,,,,,,,,80.0,80.0,,,40.0,,,,,,100.0,,100.0,,,,,,,,,,,,80.0,80.0,,,30.0,,,,,,50.0,,60.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"5,7,8,9,11",,,,,5.0,,25.0,20.0,25.0,,25.0,,,,,,,,,"5,7,8,15,18",,,,,15.0,,15.0,40.0,,,,,,,5.0,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8,9,12,13",10.0,,,,,,,20.0,40.0,,,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"4,9,14,17,18",,,,10.0,,,,,10.0,,,,,15.0,,,25.0,40.0,,,,,,,,,,,,,,,,,,,,,,"10,11,14,16,17",,,,,,,,,,15.0,15.0,,,10.0,,40.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,50.0,70.0,,
,,0,,100,8076,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1536x864,,,,2.0,30.0,6.0,52.0,,2.0,8.0,BA,Linguistics,CAM diploma,"Marketing, Advertising, Public Relations",,,,,,,"3,5,6,15,19",Influencing the decisions of other people,,,,,4.0,,3.0,5.0,,,,,,,,,1.0,,,,2.0,,,,,,,,5.0,,10.0,10.0,,,,,,,,,10.0,,,,10.0,,,,,,,,69.0,,72.0,50.0,,,,,,,,,100.0,,,,100.0,,,,,,,,50.0,,21.0,46.0,,,,,,,,,1.0,,,,1.0,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,3,5,9,15",,20.0,20.0,,20.0,,,,20.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,8,11,16",10.0,10.0,,,,,,40.0,,,25.0,,,,,15.0,,,,"3,8,9,15,16",,,10.0,,,,,10.0,50.0,,,,,,20.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,7,16,17,18",10.0,,,,,,5.0,,,,,,,,,35.0,35.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,11,16,17,18",10.0,,,,,,,,,,10.0,,,,,40.0,25.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,50.0,50.0,,
,,0,,100,1801,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1280x800,,,,1.0,10.0,4.0,10.0,,2.0,8.0,BA,Communications and Media,,,,,,,,,"5,7,8,12,13",,,,,,,,4.0,,1.0,5.0,,,,3.0,2.0,,,,,,,,,,,,,,,,10.0,,5.0,10.0,,,,5.0,5.0,,,,,,,,,,,,,,,,20.0,,20.0,20.0,,,,21.0,100.0,,,,,,,,,,,,,,,,40.0,,80.0,80.0,,,,100.0,40.0,,,,,,,,,,,,3.0,2.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8,9,11,12",20.0,,,,,,,20.0,20.0,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,8,9,11,15",20.0,,,,,,,20.0,20.0,,20.0,,,,20.0,,,,,"4,6,7,9,10",,,,20.0,,20.0,20.0,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,2,5,9,11",20.0,20.0,,,20.0,,,,20.0,,20.0,,,,,,,,,"7,10,11,12,18",,,,,,,20.0,,,20.0,20.0,20.0,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,2.0,0.0,71.0,,
,,0,,100,1577,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1920x1080,,,,1.0,1.0,3.0,21.0,,2.0,9.0,BA,Philosophy,MSc,Marketing,,,,,,,"1,4,9,12,15",,,,1.0,,,2.0,,,,,4.0,,,3.0,,,5.0,,,,,,,,,,30.0,,,5.0,,,,,20.0,,,25.0,,,2.0,,,,,,,,,,1.0,,,2.0,,,,,1.0,,,2.0,,,94.0,,,,,,,,,,79.0,,,80.0,,,,,95.0,,,100.0,,,21.0,,,,,,,,,,2.0,1.0,1.0,1.0,1.0,1.0,,"2,3,7,8,10",,25.0,20.0,,,,15.0,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"10,12,14,17,18",,,,,,,,,,10.0,,20.0,,20.0,,,30.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,4,5,10,11",,40.0,,15.0,5.0,,,,,15.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"8,10,12,16,18",,,,,,,,25.0,,5.0,,10.0,,,,35.0,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,6,8,17,18",15.0,,,,,30.0,,15.0,,,,,,,,,20.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70.0,100.0,89.0,70.0,69.0,,
,,0,,100,2659,1,,,,,,,,,,,1,Edge,135.0.0.0,Windows,1680x1050,,,,2.0,13.0,6.0,40.0,,2.0,8.0,Bsc,Environmental Science,,,,,,,,,"1,5,9,14,15",,,,2.0,,,,3.0,,,,4.0,,,,,5.0,1.0,,,,,,,,,,10.0,,,,20.0,,,,37.5,,,,,10.0,25.0,,,,,,,,,,40.0,,,,40.0,,,,20.0,,,,,79.0,100.0,,,,,,,,,,80.0,,,,50.0,,,,100.0,,,,,50.0,20.0,,,,,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,,"1,2,5,15,18",15.0,40.0,,,15.0,,,,,,,,,,15.0,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"7,8,9,15,17",,,,,,,10.0,30.0,10.0,,,,,,20.0,,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3,4,5,7,9",,,20.0,20.0,20.0,,20.0,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,11,12,16,18",,20.0,,,,,,,,,20.0,20.0,,,,20.0,,20.0,,"1,2,16,17,18",15.0,15.0,,,,,,,,,,,,,,20.0,25.0,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,100.0,50.0,50.0,,
